"No.","Time","Source","Destination","Length","Info","Value"
"906","169.923770","(Galaxy Note10+)","(LEGO Mario_g_g)","17","Sent Write Command, Handle: 0x0012","0500030201"
"907","169.974066","(Galaxy Note10+)","(LEGO Mario_g_g)","17","Sent Write Command, Handle: 0x0012","0500030203"
"909","170.009524","(LEGO Mario_g_g)","(Galaxy Note10+)","18","Rcvd Handle Value Notification, Handle: 0x0012","060003020400"
"910","170.024751","(LEGO Mario_g_g)","(Galaxy Note10+)","27","Rcvd Handle Value Notification, Handle: 0x0012","0f0004000147000000035301000000"
"911","170.027736","(Galaxy Note10+)","(LEGO Mario_g_g)","17","Sent Write Command, Handle: 0x0012","0500030401"
"912","170.039780","(LEGO Mario_g_g)","(Galaxy Note10+)","27","Rcvd Handle Value Notification, Handle: 0x0012","0f0004010149000000035301000000"
"913","170.047312","(LEGO Mario_g_g)","(Galaxy Note10+)","27","Rcvd Handle Value Notification, Handle: 0x0012","0f000402014a000000035301000000"
"914","170.062865","(LEGO Mario_g_g)","(Galaxy Note10+)","27","Rcvd Handle Value Notification, Handle: 0x0012","0f0004030146000000035301000000"
"915","170.075852","(Galaxy Note10+)","(LEGO Mario_g_g)","17","Sent Write Command, Handle: 0x0012","0500030403"
"916","170.077092","(LEGO Mario_g_g)","(Galaxy Note10+)","27","Rcvd Handle Value Notification, Handle: 0x0012","0f0004060114000100000000000353"
"918","170.085867","(LEGO Mario_g_g)","(Galaxy Note10+)","27","Rcvd Handle Value Notification, Handle: 0x0012","0f0004040155000100000000000353"
"919","170.099716","(LEGO Mario_g_g)","(Galaxy Note10+)","18","Rcvd Handle Value Notification, Handle: 0x0012","060003040400"
"920","170.127570","(Galaxy Note10+)","(LEGO Mario_g_g)","17","Sent Write Command, Handle: 0x0012","0500030101"
"921","170.176511","(Galaxy Note10+)","(LEGO Mario_g_g)","17","Sent Write Command, Handle: 0x0012","0500030103"
"923","170.190457","(LEGO Mario_g_g)","(Galaxy Note10+)","18","Rcvd Handle Value Notification, Handle: 0x0012","060003010400"
"924","170.228128","(Galaxy Note10+)","(LEGO Mario_g_g)","17","Sent Write Command, Handle: 0x0012","0500030301"
"925","170.278569","(Galaxy Note10+)","(LEGO Mario_g_g)","17","Sent Write Command, Handle: 0x0012","0500030303"
"927","170.295044","(LEGO Mario_g_g)","(Galaxy Note10+)","18","Rcvd Handle Value Notification, Handle: 0x0012","060003030400"
"928","170.328927","(Galaxy Note10+)","(LEGO Mario_g_g)","17","Sent Write Command, Handle: 0x0012","0500010405"
"929","170.340118","(LEGO Mario_g_g)","(Galaxy Note10+)","21","Rcvd Handle Value Notification, Handle: 0x0012","090001040600000004"
"930","170.377818","(Galaxy Note10+)","(LEGO Mario_g_g)","17","Sent Write Command, Handle: 0x0012","0500010305"
"932","170.392584","(LEGO Mario_g_g)","(Galaxy Note10+)","21","Rcvd Handle Value Notification, Handle: 0x0012","090001030600000353"
"933","170.428884","(Galaxy Note10+)","(LEGO Mario_g_g)","17","Sent Write Command, Handle: 0x0012","0500010905"
"934","170.445341","(LEGO Mario_g_g)","(Galaxy Note10+)","23","Rcvd Handle Value Notification, Handle: 0x0012","0b00010906312e322e3000"
"935","170.480130","(Galaxy Note10+)","(LEGO Mario_g_g)","17","Sent Write Command, Handle: 0x0012","0500010805"
"937","170.498713","(LEGO Mario_g_g)","(Galaxy Note10+)","32","Rcvd Handle Value Notification, Handle: 0x0012","14000108064c45474f2053797374656d20412f53"
"938","170.530241","(Galaxy Note10+)","(LEGO Mario_g_g)","17","Sent Write Command, Handle: 0x0012","0500010705"
"939","170.542187","(LEGO Mario_g_g)","(Galaxy Note10+)","18","Rcvd Handle Value Notification, Handle: 0x0012","060001070601"
"940","170.581655","(Galaxy Note10+)","(LEGO Mario_g_g)","17","Sent Write Command, Handle: 0x0012","0500010a05"
"942","170.594570","(LEGO Mario_g_g)","(Galaxy Note10+)","19","Rcvd Handle Value Notification, Handle: 0x0012","0700010a060003"
"943","170.630713","(Galaxy Note10+)","(LEGO Mario_g_g)","17","Sent Write Command, Handle: 0x0012","0500010d05"
"944","170.647074","(LEGO Mario_g_g)","(Galaxy Note10+)","23","Rcvd Handle Value Notification, Handle: 0x0012","0b00010d06249f89fb57b1"
"945","170.679978","(Galaxy Note10+)","(LEGO Mario_g_g)","17","Sent Write Command, Handle: 0x0012","0500010202"
"947","170.692963","(LEGO Mario_g_g)","(Galaxy Note10+)","18","Rcvd Handle Value Notification, Handle: 0x0012","060001020600"
"948","170.732865","(Galaxy Note10+)","(LEGO Mario_g_g)","17","Sent Write Command, Handle: 0x0012","0500010205"
"949","170.745118","(LEGO Mario_g_g)","(Galaxy Note10+)","18","Rcvd Handle Value Notification, Handle: 0x0012","060001020600"
"950","170.782108","(Galaxy Note10+)","(LEGO Mario_g_g)","17","Sent Write Command, Handle: 0x0012","0500010502"
"952","170.797788","(LEGO Mario_g_g)","(Galaxy Note10+)","18","Rcvd Handle Value Notification, Handle: 0x0012","060001050600"
"953","170.836187","(Galaxy Note10+)","(LEGO Mario_g_g)","17","Sent Write Command, Handle: 0x0012","0500010505"
"954","170.850016","(LEGO Mario_g_g)","(Galaxy Note10+)","18","Rcvd Handle Value Notification, Handle: 0x0012","060001050600"
"955","170.881586","(Galaxy Note10+)","(LEGO Mario_g_g)","17","Sent Write Command, Handle: 0x0012","0500010602"
"957","170.895215","(LEGO Mario_g_g)","(Galaxy Note10+)","18","Rcvd Handle Value Notification, Handle: 0x0012","06000106063b"
"958","170.931850","(Galaxy Note10+)","(LEGO Mario_g_g)","17","Sent Write Command, Handle: 0x0012","0500010605"
"959","170.947635","(LEGO Mario_g_g)","(Galaxy Note10+)","18","Rcvd Handle Value Notification, Handle: 0x0012","06000106063b"
"960","170.981294","(Galaxy Note10+)","(LEGO Mario_g_g)","17","Sent Write Command, Handle: 0x0012","0500010102"
"962","170.993668","(LEGO Mario_g_g)","(Galaxy Note10+)","31","Rcvd Handle Value Notification, Handle: 0x0012","13000101064c45474f204d6172696f5f675f67"
"963","171.032569","(Galaxy Note10+)","(LEGO Mario_g_g)","17","Sent Write Command, Handle: 0x0012","0500010105"
"964","171.045966","(LEGO Mario_g_g)","(Galaxy Note10+)","31","Rcvd Handle Value Notification, Handle: 0x0012","13000101064c45474f204d6172696f5f675f67"
"965","171.083110","(Galaxy Note10+)","(LEGO Mario_g_g)","17","Sent Write Command, Handle: 0x0012","0500210001"
"967","171.097601","(LEGO Mario_g_g)","(Galaxy Note10+)","23","Rcvd Handle Value Notification, Handle: 0x0012","0b00430001060203000000"
"968","171.133541","(Galaxy Note10+)","(LEGO Mario_g_g)","17","Sent Write Command, Handle: 0x0012","0500210101"
"969","171.150158","(LEGO Mario_g_g)","(Galaxy Note10+)","23","Rcvd Handle Value Notification, Handle: 0x0012","0b00430101060203000000"
"970","171.183593","(Galaxy Note10+)","(LEGO Mario_g_g)","17","Sent Write Command, Handle: 0x0012","0500210201"
"972","171.194766","(LEGO Mario_g_g)","(Galaxy Note10+)","23","Rcvd Handle Value Notification, Handle: 0x0012","0b00430201020101000000"
"973","171.235286","(Galaxy Note10+)","(LEGO Mario_g_g)","17","Sent Write Command, Handle: 0x0012","0500210301"
"974","171.247801","(LEGO Mario_g_g)","(Galaxy Note10+)","23","Rcvd Handle Value Notification, Handle: 0x0012","0b0043030102040f000000"
"975","171.285359","(Galaxy Note10+)","(LEGO Mario_g_g)","17","Sent Write Command, Handle: 0x0012","0500210601"
"977","171.299854","(LEGO Mario_g_g)","(Galaxy Note10+)","23","Rcvd Handle Value Notification, Handle: 0x0012","0b00430601020203000000"
"978","171.334607","(Galaxy Note10+)","(LEGO Mario_g_g)","17","Sent Write Command, Handle: 0x0012","0500210401"
"979","171.344765","(LEGO Mario_g_g)","(Galaxy Note10+)","23","Rcvd Handle Value Notification, Handle: 0x0012","0b00430401030101000100"
"980","171.385254","(Galaxy Note10+)","(LEGO Mario_g_g)","17","Sent Write Command, Handle: 0x0012","0500210002"
"982","171.398130","(LEGO Mario_g_g)","(Galaxy Note10+)","19","Rcvd Handle Value Notification, Handle: 0x0012","07004300020300"
"983","171.434389","(Galaxy Note10+)","(LEGO Mario_g_g)","18","Sent Write Command, Handle: 0x0012","060022000000"
"984","171.450999","(LEGO Mario_g_g)","(Galaxy Note10+)","29","Rcvd Handle Value Notification, Handle: 0x0012","1100440000005241570000000000000000"
"985","171.485335","(Galaxy Note10+)","(LEGO Mario_g_g)","18","Sent Write Command, Handle: 0x0012","060022000001"
"987","171.502782","(LEGO Mario_g_g)","(Galaxy Note10+)","26","Rcvd Handle Value Notification, Handle: 0x0012","0e0044000001000000000000c842"
"988","171.536073","(Galaxy Note10+)","(LEGO Mario_g_g)","18","Sent Write Command, Handle: 0x0012","060022000002"
"989","171.548166","(LEGO Mario_g_g)","(Galaxy Note10+)","26","Rcvd Handle Value Notification, Handle: 0x0012","0e0044000002000000000000c842"
"990","171.586180","(Galaxy Note10+)","(LEGO Mario_g_g)","18","Sent Write Command, Handle: 0x0012","060022000003"
"992","171.600121","(LEGO Mario_g_g)","(Galaxy Note10+)","26","Rcvd Handle Value Notification, Handle: 0x0012","0e0044000003000000000000c842"
